Date,Region,Cluster,Country,Segment,Sales Amount,Year,Month,Quarter,Is_Q4,Lag_1_Sales,RollingAvg_3M
2023-01-03,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.8346373469531496,2023,1,1,0,,
2023-01-03,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,4.4568100463438745,2023,1,1,0,3.8346373469531496,
2023-01-03,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.492806983720626,2023,1,1,0,4.4568100463438745,4.26141812567255
2023-01-03,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.735904696249588,2023,1,1,0,4.492806983720626,4.56184057543803
2023-01-04,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.61704756311674,2023,1,1,0,4.735904696249588,4.2819197476956505
2023-01-04,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.470246391515412,2023,1,1,0,3.61704756311674,4.274399550293913
2023-01-04,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.536513986635744,2023,1,1,0,4.470246391515412,4.207935980422632
2023-01-04,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,4.775665646423075,2023,1,1,0,4.536513986635744,4.594142008191411
2023-01-05,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.611069663766482,2023,1,1,0,4.775665646423075,4.307749765608434
2023-01-05,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.195635039851497,2023,1,1,0,3.611069663766482,4.194123450013685
2023-01-05,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,4.215184099860288,2023,1,1,0,4.195635039851497,4.007296267826089
2023-01-05,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.8659496138915985,2023,1,1,0,4.215184099860288,4.425589584534461
2023-01-06,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.153785778621118,2023,1,1,0,4.8659496138915985,4.0783064974576675
2023-01-06,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,4.627822611864829,2023,1,1,0,3.153785778621118,4.215852668125848
2023-01-06,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,4.664933835337594,2023,1,1,0,4.627822611864829,4.148847408607847
2023-01-06,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,4.78984215198394,2023,1,1,0,4.664933835337594,4.694199533062121
2023-01-07,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,3.1893957402034676,2023,1,1,0,4.78984215198394,4.214723909175
2023-01-07,INTERNATIONAL,ANZ,AUSTRALIA,TRAUMA,3.266694047632452,2023,1,1,0,3.1893957402034676,3.7486439799399527
2023-01-08,INTERNATIONAL,ANZ,AUSTRALIA,HIPS,3.560786696444394,2023,1,1,0,3.266694047632452,3.3389588280934377
2023-01-09,INTERNATIONAL,ANZ,AUSTRALIA,Other Reconstruction,3.152580520265964,2023,1,1,0,3.560786696444394,3.3266870881142694
2023-01-09,INTERNATIONAL,ANZ,AUSTRALIA,KNEES,4.34819051484268,2023,1,1,0,3.152580520265964,3.687185910517679
